,Predictions
2022-04-13,321.10632151252406
2022-04-14,344.47837739366645
2022-04-15,656.2634188079955
2022-04-16,351.3631923992178
2022-04-17,263.2112019365997
2022-04-18,267.71782702543186
2022-04-19,427.0761208820012
2022-04-20,548.0847041628317
2022-04-21,351.77787983117116
2022-04-22,303.8356191780004
2022-04-23,590.9391892463356
2022-04-24,368.4577685276618
2022-04-25,501.78684240752955
2022-04-26,503.02748521568
2022-04-27,519.6759925229995
2022-04-28,644.5365350819999
2022-04-29,359.9553493185787
2022-04-30,336.1220614997634
2022-05-01,391.77168566600307
2022-05-02,302.7712765856007
2022-05-03,357.0012534376656
2022-05-04,519.3508774309995
2022-05-05,527.4084899089003
2022-05-06,309.41476923379963
2022-05-07,363.1627575044274
2022-05-08,490.8925586297662
2022-05-09,294.19225196210857
2022-05-10,513.6613530783571
2022-05-11,362.78936551895225
2022-05-12,534.6921155106082
2022-05-13,332.8676564951023
2022-05-14,443.49725986799615
2022-05-15,541.0501433706987
2022-05-16,553.1968604947889
2022-05-17,309.31586026046614
2022-05-18,548.1553037359996
2022-05-19,452.0508843359968
2022-05-20,385.8284564528334
2022-05-21,436.34717885166936
2022-05-22,357.1122592949342
2022-05-23,350.51186823717666
2022-05-24,482.55745691595064
2022-05-25,329.73907010206534
2022-05-26,332.7518581876966
2022-05-27,503.76002027819356
2022-05-28,361.3338861036536
2022-05-29,520.2234969653342
2022-05-30,524.6576688570307
2022-05-31,486.03727445761683
2022-06-01,488.7958809381723
2022-06-02,540.6653550953665
2022-06-03,387.56502960533265
2022-06-04,419.45604713000137
2022-06-05,521.9293772440126
2022-06-06,488.78933403173835
2022-06-07,540.8345392780994
2022-06-08,339.12749894273907
2022-06-09,345.7162970155989
2022-06-10,361.0332778804597
2022-06-11,530.8343915966608
2022-06-12,539.3078913425647
2022-06-13,620.717117800001
2022-06-14,313.21508135023544
2022-06-15,263.14604982750075
2022-06-16,566.3176038279986
2022-06-17,524.6774641261508
2022-06-18,345.21691133913305
2022-06-19,510.7853644063994
2022-06-20,364.6431593778285
2022-06-21,576.452098979001
2022-06-22,501.12790483684995
2022-06-23,490.74399839716114
2022-06-24,310.591326619367
2022-06-25,274.8614569349994
2022-06-26,279.89126006640157
2022-06-27,332.1435062371737
2022-06-28,486.8646493232879
2022-06-29,392.46668840200334
2022-06-30,452.02181941399795
2022-07-01,349.3872429262194
2022-07-02,612.2605344269984
2022-07-03,595.190439842865
2022-07-04,494.5890271224017
2022-07-05,354.4563282984759
2022-07-06,585.6304772230006
2022-07-07,306.92740625199957
2022-07-08,320.093262066999
2022-07-09,307.56304513999964
2022-07-10,317.6190677710004
2022-07-11,516.154470854768
2022-07-12,558.6265784764986
2022-07-13,633.8147398300018
2022-07-14,353.2712668023848
2022-07-15,606.6075836980025
2022-07-16,447.2246603979975
2022-07-17,493.32583722814115
2022-07-18,530.8679601018979
2022-07-19,553.8081657999229
2022-07-20,421.73876402200256
2022-07-21,662.6220653539989
2022-07-22,497.26019630305296
2022-07-23,511.4387213259
2022-07-24,686.2882720379976
2022-07-25,345.69735849709986
2022-07-26,370.86690081403964
2022-07-27,497.9090611799478
2022-07-28,419.63730533400053
2022-07-29,352.420879245833
2022-07-30,355.85935892953364
2022-07-31,649.5170209559983
2022-08-01,367.8052040898621
2022-08-02,326.3652653438995
2022-08-03,559.158284029831
2022-08-04,607.0801350899994
2022-08-05,340.8624645275002
2022-08-06,364.1267287630357
2022-08-07,271.3963741802336
2022-08-08,370.9332014179973
2022-08-09,520.9650682162373
2022-08-10,323.38237866600036
2022-08-11,492.99625221590526
2022-08-12,362.8618244595378
2022-08-13,361.34076826628785
2022-08-14,339.22020421010086
2022-08-15,524.6517179098042
2022-08-16,378.97258497253773
2022-08-17,367.55261366067117
2022-08-18,425.05496117949997
2022-08-19,577.3790407466664
2022-08-20,504.5961199254306
2022-08-21,315.19660869635953
2022-08-22,257.3611719559992
2022-08-23,304.45220069800104
2022-08-24,409.7404182239997
2022-08-25,539.6488635311633
2022-08-26,513.8550797252127
2022-08-27,484.27187011818233
2022-08-28,348.47783347563046
2022-08-29,299.3012928863343
2022-08-30,351.9045956766811
2022-08-31,302.5450565136007
2022-09-01,680.3338008299999
2022-09-02,363.9030144806497
2022-09-03,398.43916484933544
2022-09-04,374.61599098853685
2022-09-05,381.11652470225863
2022-09-06,518.8591334771661
2022-09-07,382.8343549059668
2022-09-08,522.5082202088663
2022-09-09,375.160226348472
2022-09-10,554.6817059291647
2022-09-11,294.65596733308803
2022-09-12,482.3968991610877
2022-09-13,605.9449088220024
2022-09-14,394.352363944
2022-09-15,365.3531083484348
2022-09-16,364.64892183324343
2022-09-17,288.6816409746846
2022-09-18,499.15881556896403
2022-09-19,505.7828884311656
2022-09-20,368.0639414136842
2022-09-21,569.4695115619993
2022-09-22,358.76934094413144
2022-09-23,272.00345143949977
2022-09-24,487.31333488390834
2022-09-25,502.9204882115089
2022-09-26,363.738009114194
2022-09-27,300.2138813736673
2022-09-28,497.97266256680797
2022-09-29,318.8363899269287
2022-09-30,339.3797854181319
2022-10-01,484.9504862152258
2022-10-02,344.4962713859331
2022-10-03,320.0057129869994
2022-10-04,353.53179494455003
2022-10-05,488.29630667522343
2022-10-06,318.0449428639997
2022-10-07,508.99157686940026
2022-10-08,332.66345232618585
2022-10-09,579.4883869200012
2022-10-10,425.6460443175011
2022-10-11,272.24870081549955
2022-10-12,546.8237280215968
2022-10-13,366.5582592031564
2022-10-14,302.44904509826756
2022-10-15,510.172029655969
2022-10-16,264.7040958519329
2022-10-17,326.3706568177994
2022-10-18,329.19942370979965
2022-10-19,371.6623514312316
2022-10-20,452.539978909998
2022-10-21,627.9023625779972
2022-10-22,280.61187013240067
2022-10-23,686.7686078959956
2022-10-24,507.8556317057723
2022-10-25,486.60487111103384
2022-10-26,358.9422981045575
2022-10-27,500.6578187412084
2022-10-28,482.61062362341426
2022-10-29,598.2233490579976
2022-10-30,332.89435411526904
2022-10-31,512.2459257966019
2022-11-01,338.203143632566
2022-11-02,500.05957767176204
2022-11-03,418.64052632400035
2022-11-04,335.3886360041014
2022-11-05,377.6995543009122
2022-11-06,495.8049698670684
2022-11-07,315.163014926193
2022-11-08,326.27585116389935
2022-11-09,508.8777779609313
2022-11-10,267.7204302842206
2022-11-11,326.4724714328994
2022-11-12,472.5550531231329
2022-11-13,343.3262605896857
2022-11-14,331.6134886617487
2022-11-15,540.5467718381335
2022-11-16,547.8795853414308
2022-11-17,283.31514501270027
2022-11-18,536.6863971430045
2022-11-19,297.8316167846675
2022-11-20,367.73029110205
2022-11-21,251.05003551416482
2022-11-22,523.8986503446989
2022-11-23,275.9795122879992
2022-11-24,532.4304592473395
2022-11-25,614.3317341980026
2022-11-26,533.0319816904315
2022-11-27,377.3203955489992
2022-11-28,485.85218586851664
2022-11-29,546.8818252562638
2022-11-30,410.68753675199963
2022-12-01,278.8007896737314
2022-12-02,406.71162092800085
2022-12-03,328.5760198299999
